"name","packet_type","sender","destination","command","message_type"
"cmdInvioDatiFile","67","65","66","0","87"
"cmdAutenticazioneA","80","65","66","1","87"
"cmdAutenticazioneB","80","65","66","2","87"
"cmdVersioneProtocollo","80","65","66","3","87"
"cmdCambioDirectory2","80","65","66","12","87"
"cmdDownloadDirectory","80","65","66","13","87"
"cmdVersioneSoftware","80","65","66","14","87"
"cmdInvioNomeFile","80","65","66","21","87"
"cmdInitUpload","80","65","66","22","87"
"cmdContenutoDirectory","80","65","66","23","87"
"cmdCambioDirectory","80","65","66","24","87"
"cmdRichiestaFile","80","65","66","25","87"
"cmdScaricaFile","80","65","66","26","87"
"cmdCreaDirectory","80","65","66","27","87"
"cmdCancellaDirectory","80","65","66","28","87"
"cmdCopiaFile","80","65","66","30","87"
"cmdCancellaFile","80","65","66","31","87"
"cmdRunRTB","80","65","66","32","87"
"cmdUnZipDir","80","65","66","34","87"
"cmdZipDir","80","65","66","35","87"
"cmdTestZip","80","65","66","36","87"
"cmdGetStatus","80","65","66","37","87"
"cmdRichiestaOpzioni","80","65","66","38","87"
"cmdInfoDisco","80","65","66","45","87"
"cmdTastieraVirtuale","80","65","66","66","87"
"cmdStreamVideo","80","65","66","67","87"
"cmdStopTask","80","65","66","68","87"
"cmdVisualizzaLog","80","65","66","69","87"
"cmdCatturaSchermata","80","65","66","70","87"
"cmdLetturaListaIO","80","65","66","71","87"
"cmdRicezioneIO","80","65","66","72","87"
"cmdLetturaParametri","80","65","66","73","87"
"cmdSettaParametro","80","65","66","74","87"
"cmdRebootMacchina","80","65","66","75","87"
"cmdListaDrivesAzion","80","65","66","76","87"
"cmdSpedisciChat","80","65","66","83","87"
"cmdSettaManutenzione","80","65","66","84","87"
"cmdStatisticheTask","80","65","66","90","87"
"cmdLogin","80","65","66","220","87"
"cmdRichiestaPrenotazione","80","65","66","222","87"
